year,category,value
2019,CAPEX_FIXED,-2214456000.0
2019,CAPEX_INTANGIBLE,0.0
2019,CASH,1088955000.0
2019,COGS,-17263264000.0
2019,DEBT_LONG,22841193000.0
2019,DEBT_LONG_FIN,0.0
2019,DEBT_SHORT,5125843000.0
2019,DEBT_SHORT_FIN,0.0
2019,DEPRECIATION,455444000.0
2019,EBIT,3541917000.0
2019,EBT,1410733000.0
2019,EQUITY,11361932000.0
2019,FIN_CF,-3788864000.0
2019,FIN_EXPENSE,-2510226000.0
2019,FIN_INCOME,379042000.0
2019,FIN_INVESTMENTS,2633173000.0
2019,FIN_INVESTMENTS_LT,7626577000.0
2019,GA_EXPENSES,-511065000.0
2019,GROSS_PROFIT,8173153000.0
2019,INVEST_CF,-2236367000.0
2019,LEASE_LONG,0.0
2019,LEASE_SHORT,0.0
2019,NET_INCOME,2244511000.0
2019,NET_INCOME_CONT,2244511000.0
2019,OPER_CF,4871879000.0
2019,REVENUE,25436417000.0
2019,SELLING_EXPENSES,-2342805000.0
2019,TAXES,833778000.0
2019,TOTAL_ASSETS,50869276000.0
2019,TOTAL_LIABILITIES,50869276000.0
