year,category,value
2021,CAPEX_FIXED,0.0
2021,CAPEX_INTANGIBLE,-3333000.0
2021,CASH,844088000.0
2021,COGS,-10054509000.0
2021,DEBT_LONG,1845411000.0
2021,DEBT_LONG_FIN,1229741000.0
2021,DEBT_SHORT,176554000.0
2021,DEBT_SHORT_FIN,23559000.0
2021,DEPRECIATION,245705000.0
2021,EBIT,797370000.0
2021,EBT,821529000.0
2021,EQUITY,2621369000.0
2021,FIN_CF,-87157000.0
2021,FIN_EXPENSE,-233906000.0
2021,FIN_INCOME,258065000.0
2021,FIN_INVESTMENTS,0.0
2021,FIN_INVESTMENTS_LT,3893561000.0
2021,GA_EXPENSES,-353817000.0
2021,GROSS_PROFIT,1287041000.0
2021,INVEST_CF,-613239000.0
2021,LEASE_LONG,615670000.0
2021,LEASE_SHORT,152995000.0
2021,NET_INCOME,563172000.0
2021,NET_INCOME_CONT,563172000.0
2021,OPER_CF,378279000.0
2021,REVENUE,11341550000.0
2021,SELLING_EXPENSES,-222486000.0
2021,TAXES,-258357000.0
2021,TOTAL_ASSETS,11958245000.0
2021,TOTAL_LIABILITIES,11958245000.0
