year,category,value
2020,CAPEX_FIXED,-8011000.0
2020,CAPEX_INTANGIBLE,-455602000.0
2020,CASH,366322000.0
2020,COGS,-1188582000.0
2020,DEBT_LONG,310362000.0
2020,DEBT_LONG_FIN,310362000.0
2020,DEBT_SHORT,142878000.0
2020,DEBT_SHORT_FIN,142878000.0
2020,EBIT,272061000.0
2020,EBT,285970000.0
2020,EQUITY,2481417000.0
2020,FIN_CF,-269102000.0
2020,FIN_EXPENSE,-52297000.0
2020,FIN_INCOME,66206000.0
2020,FIN_INVESTMENTS,922582000.0
2020,FIN_INVESTMENTS_LT,1339467000.0
2020,GA_EXPENSES,-120071000.0
2020,GROSS_PROFIT,482438000.0
2020,INVEST_CF,-467710000.0
2020,LEASE_LONG,0.0
2020,LEASE_SHORT,0.0
2020,NET_INCOME,53349000.0
2020,NET_INCOME_CONT,253131000.0
2020,OPER_CF,840619000.0
2020,REVENUE,1671020000.0
2020,SELLING_EXPENSES,-118807000.0
2020,TAXES,-32839000.0
2020,TOTAL_ASSETS,5176777000.0
2020,TOTAL_LIABILITIES,5176777000.0
