year,category,value
2023,CAPEX_FIXED,0.0
2023,CAPEX_INTANGIBLE,0.0
2023,CASH,43868000.0
2023,COGS,-448642000.0
2023,DEBT_LONG,713185000.0
2023,DEBT_LONG_FIN,713185000.0
2023,DEBT_SHORT,73527000.0
2023,DEBT_SHORT_FIN,27989000.0
2023,DEPRECIATION,157597000.0
2023,EBIT,81105000.0
2023,EBT,-78460000.0
2023,EQUITY,378405000.0
2023,FIN_CF,49910000.0
2023,FIN_EXPENSE,-164925000.0
2023,FIN_INCOME,5360000.0
2023,FIN_INVESTMENTS,0.0
2023,FIN_INVESTMENTS_LT,91561000.0
2023,GA_EXPENSES,-43554000.0
2023,GROSS_PROFIT,112091000.0
2023,INVEST_CF,-20361000.0
2023,LEASE_LONG,0.0
2023,LEASE_SHORT,0.0
2023,NET_INCOME,-75431000.0
2023,NET_INCOME_CONT,-75431000.0
2023,OPER_CF,-9000000.0
2023,REVENUE,560733000.0
2023,SELLING_EXPENSES,0.0
2023,TAXES,3029000.0
2023,TOTAL_ASSETS,2109713000.0
2023,TOTAL_LIABILITIES,2109713000.0
