year,category,value
2024,CAPEX_FIXED,-132557000.0
2024,CAPEX_INTANGIBLE,67678000.0
2024,CASH,361914000.0
2024,COGS,-710686000.0
2024,DEBT_LONG,1961172000.0
2024,DEBT_LONG_FIN,0.0
2024,DEBT_SHORT,187644000.0
2024,DEBT_SHORT_FIN,0.0
2024,DEPRECIATION,226750000.0
2024,EBIT,572198000.0
2024,EBT,411159000.0
2024,EQUITY,2524645000.0
2024,FIN_CF,-403826000.0
2024,FIN_EXPENSE,-293851000.0
2024,FIN_INCOME,132812000.0
2024,FIN_INVESTMENTS,225764000.0
2024,FIN_INVESTMENTS_LT,442877000.0
2024,GA_EXPENSES,-174594000.0
2024,GROSS_PROFIT,460631000.0
2024,INVEST_CF,-71216000.0
2024,LEASE_LONG,1961172000.0
2024,LEASE_SHORT,187644000.0
2024,NET_INCOME,377582000.0
2024,NET_INCOME_CONT,377582000.0
2024,OPER_CF,560006000.0
2024,REVENUE,1171317000.0
2024,SELLING_EXPENSES,0.0
2024,TAXES,-33577000.0
2024,TOTAL_ASSETS,5193841000.0
2024,TOTAL_LIABILITIES,5193841000.0
