year,category,value
2024,CAPEX_FIXED,-330393000.0
2024,CAPEX_INTANGIBLE,0.0
2024,CASH,677472000.0
2024,COGS,-2086676000.0
2024,DEBT_LONG,4908203000.0
2024,DEBT_LONG_FIN,3512048000.0
2024,DEBT_SHORT,697769000.0
2024,DEBT_SHORT_FIN,439041000.0
2024,DEPRECIATION,824552000.0
2024,EBIT,917500000.0
2024,EBT,302255000.0
2024,EQUITY,3138960000.0
2024,FIN_CF,-292003000.0
2024,FIN_EXPENSE,-914306000.0
2024,FIN_INCOME,299061000.0
2024,FIN_INVESTMENTS,369443000.0
2024,FIN_INVESTMENTS_LT,1177494000.0
2024,GA_EXPENSES,-1342673000.0
2024,GROSS_PROFIT,3265109000.0
2024,INVEST_CF,-750965000.0
2024,LEASE_LONG,0.0
2024,LEASE_SHORT,0.0
2024,NET_INCOME,341208000.0
2024,NET_INCOME_CONT,341208000.0
2024,OPER_CF,1218469000.0
2024,REVENUE,5351785000.0
2024,SELLING_EXPENSES,-1054972000.0
2024,TAXES,38953000.0
2024,TOTAL_ASSETS,9938424000.0
2024,TOTAL_LIABILITIES,9938424000.0
