year,category,value
2023,CAPEX_FIXED,0.0
2023,CAPEX_INTANGIBLE,-153179000.0
2023,CASH,200535000.0
2023,COGS,-1281371000.0
2023,DEBT_LONG,806761000.0
2023,DEBT_LONG_FIN,806761000.0
2023,DEBT_SHORT,207522000.0
2023,DEBT_SHORT_FIN,207522000.0
2023,DEPRECIATION,218699000.0
2023,EBIT,419419000.0
2023,EBT,287716000.0
2023,EQUITY,602061000.0
2023,FIN_CF,-23649000.0
2023,FIN_EXPENSE,-145271000.0
2023,FIN_INCOME,13568000.0
2023,FIN_INVESTMENTS,0.0
2023,FIN_INVESTMENTS_LT,553642000.0
2023,GA_EXPENSES,-195691000.0
2023,GROSS_PROFIT,576870000.0
2023,INVEST_CF,-478500000.0
2023,LEASE_LONG,0.0
2023,LEASE_SHORT,0.0
2023,NET_INCOME,204563000.0
2023,NET_INCOME_CONT,204563000.0
2023,OPER_CF,636859000.0
2023,REVENUE,1858241000.0
2023,SELLING_EXPENSES,0.0
2023,TAXES,-83153000.0
2023,TOTAL_ASSETS,2229776000.0
2023,TOTAL_LIABILITIES,2229776000.0
