CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA
02.800.026/0001-40;2019-12-31;1;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2018-12-31;2;Passivo Total;31949129.0000000000;S
02.800.026/0001-40;2019-12-31;1;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2019-12-31;2;Passivo Total;34118446.0000000000;S
02.800.026/0001-40;2019-12-31;1;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2018-12-31;2.01;Passivo Circulante;2565496.0000000000;S
02.800.026/0001-40;2019-12-31;1;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2019-12-31;2.01;Passivo Circulante;2750625.0000000000;S
02.800.026/0001-40;2019-12-31;1;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2018-12-31;2.01.01;Obrigações Sociais e Trabalhistas;508251.0000000000;S
02.800.026/0001-40;2019-12-31;1;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2019-12-31;2.01.01;Obrigações Sociais e Trabalhistas;463527.0000000000;S
02.800.026/0001-40;2019-12-31;1;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2018-12-31;2.01.01.01;Obrigações Sociais;0.0000000000;S
02.800.026/0001-40;2019-12-31;1;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2019-12-31;2.01.01.01;Obrigações Sociais;0.0000000000;S
02.800.026/0001-40;2019-12-31;1;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2018-12-31;2.01.01.02;Obrigações Trabalhistas;0.0000000000;S
02.800.026/0001-40;2019-12-31;1;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2019-12-31;2.01.01.02;Obrigações Trabalhistas;463527.0000000000;S
02.800.026/0001-40;2019-12-31;1;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2018-12-31;2.01.02;Fornecedores;866954.0000000000;S
02.800.026/0001-40;2019-12-31;1;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2019-12-31;2.01.02;Fornecedores;879086.0000000000;S
02.800.026/0001-40;2019-12-31;1;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2018-12-31;2.01.02.01;Fornecedores Nacionais;866954.0000000000;S
02.800.026/0001-40;2019-12-31;1;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2019-12-31;2.01.02.01;Fornecedores Nacionais;879086.0000000000;S
02.800.026/0001-40;2019-12-31;1;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2018-12-31;2.01.02.01.01;Fornecedores;474980.0000000000;N
02.800.026/0001-40;2019-12-31;1;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2019-12-31;2.01.02.01.01;Fornecedores;537430.0000000000;N
02.800.026/0001-40;2019-12-31;1;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2018-12-31;2.01.02.01.02;Fornecedores risco sacado;391974.0000000000;N
02.800.026/0001-40;2019-12-31;1;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2019-12-31;2.01.02.01.02;Fornecedores risco sacado;341656.0000000000;N
02.800.026/0001-40;2019-12-31;1;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2018-12-31;2.01.02.02;Fornecedores Estrangeiros;0.0000000000;S
02.800.026/0001-40;2019-12-31;1;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2019-12-31;2.01.02.02;Fornecedores Estrangeiros;0.0000000000;S
02.800.026/0001-40;2019-12-31;1;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2018-12-31;2.01.03;Obrigações Fiscais;118072.0000000000;S
02.800.026/0001-40;2019-12-31;1;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2019-12-31;2.01.03;Obrigações Fiscais;176784.0000000000;S
02.800.026/0001-40;2019-12-31;1;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2018-12-31;2.01.03.01;Obrigações Fiscais Federais;118072.0000000000;S
02.800.026/0001-40;2019-12-31;1;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2019-12-31;2.01.03.01;Obrigações Fiscais Federais;176784.0000000000;S
02.800.026/0001-40;2019-12-31;1;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2018-12-31;2.01.03.01.01;Imposto de Renda e Contribuição Social a Pagar;27875.0000000000;S
02.800.026/0001-40;2019-12-31;1;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2019-12-31;2.01.03.01.01;Imposto de Renda e Contribuição Social a Pagar;60608.0000000000;S
02.800.026/0001-40;2019-12-31;1;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2018-12-31;2.01.03.01.02;Tributos a Pagar;75676.0000000000;N
02.800.026/0001-40;2019-12-31;1;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2019-12-31;2.01.03.01.02;Tributos a Pagar;101792.0000000000;N
