year,category,value
2024,CAPEX_FIXED,-107868000.0
2024,CAPEX_INTANGIBLE,0.0
2024,CASH,442823000.0
2024,COGS,-7502387000.0
2024,DEBT_LONG,6439800000.0
2024,DEBT_LONG_FIN,4255952000.0
2024,DEBT_SHORT,1666803000.0
2024,DEBT_SHORT_FIN,1474762000.0
2024,DEPRECIATION,609035000.0
2024,EBIT,1210459000.0
2024,EBT,268359000.0
2024,EQUITY,1770360000.0
2024,FIN_CF,235830000.0
2024,FIN_EXPENSE,-1189649000.0
2024,FIN_INCOME,247549000.0
2024,FIN_INVESTMENTS,1582568000.0
2024,FIN_INVESTMENTS_LT,895398000.0
2024,GA_EXPENSES,-505977000.0
2024,GROSS_PROFIT,1553871000.0
2024,INVEST_CF,-107868000.0
2024,LEASE_LONG,1671528000.0
2024,LEASE_SHORT,37289000.0
2024,NET_INCOME,207312000.0
2024,NET_INCOME_CONT,207312000.0
2024,OPER_CF,-296008000.0
2024,REVENUE,9056258000.0
2024,SELLING_EXPENSES,0.0
2024,TAXES,-61047000.0
2024,TOTAL_ASSETS,12480182000.0
2024,TOTAL_LIABILITIES,12480182000.0
