,Empresa,Ticker,Setor,Preço Atual,Preço Justo,Upside %,Recomendação,EV (R$ bi),Market Cap (bi),Net Debt (bi),WACC %,Beta,ROIC %,ROE %,Mg EBIT %,Mg Líquida %,CAGR Receita %,EV/EBITDA,EV/EBIT,P/L,EV/Receita,Score
1,WEG,WEGE3,,46.22999954223633,11.905278095312184,-74.24772179710845,VENDA FORTE,44.12717902064899,193.967734784,-5.843059,18.0766733202105,0.8793747815790249,18.995741913666585,54.64824827373512,20.245188997976964,33.268080206826866,23.267136674730438,,,,0.0,66.0
2,TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA,EQTL3,Emp. Adm. Part. - Energia Elétrica,40.36000061035156,13.521737388718314,-66.49718239783611,VENDA FORTE,12.665382360111838,50.786586624,-4.349555,17.298191679288767,1.0348340102395142,11.2896703573474,48.8194833521243,77.01067039469756,91.11630606502501,15.678911751865066,3.5904718755650147,4.42325418052543,14.990889927770874,3.40637769768412,59.9
3,CTEEP,CPFE3,Energia Elétrica,48.560001373291016,13.950670513571833,-71.27127240724299,VENDA FORTE,-4.470432945809104,55.953477632,-20.545155,15.83754778238312,0.8582664509881242,10.156349514288253,35.40113680830153,64.41003989038711,89.19085866320822,19.238369573997094,,,7.874713513632189,-0.5611482448755751,55.4
4,PETROBRAS,PETR4,Petróleo e Gás,45.22999954223633,74.65230929177328,65.05043123438911,COMPRA FORTE,931.3226644531829,582.957400064,-30.851,14.130337555924221,1.0,17.72275805378322,20.14018513580435,27.952912317731837,15.080201047615361,10.182904851411179,6.087513902654328,6.788016592103432,7.875886947283093,1.8974483261037611,54.8
5,AMBEV SA,ENEV3,Bebidas e Fumo,20.459999084472656,78.39795326075252,283.176719300294,COMPRA FORTE,102.80006429920951,39.197356032,-47.395077,18.905687724446572,1.1024774715062124,13.98115133376367,29.818990490448765,24.376663372671416,33.19510119927221,11.204405405520234,3.5531588979687387,4.714393433092963,1.3200472404032828,1.1492118172483987,50.1
6,COGNA,COGN3,,3.0799999237060547,2.960504364818765,-3.879726034002777,NEUTRO,8.171631574015707,6.14641152,2.744532,16.747147640705368,1.8,4.3700838270600455,14.666166117945668,21.155595419705183,31.085565924789766,-1.8812869590464798,,,,0.0,0.0
