,Empresa,Ticker,Setor,Preço Atual,Preço Justo,Upside %,Recomendação,EV (R$ bi),Market Cap (bi),Net Debt (bi),WACC %,Beta,ROIC %,ROE %,Mg EBIT %,Mg Líquida %,CAGR Receita %,EV/EBITDA,EV/EBIT,P/L,EV/Receita,Score
1,WEG,WEGE3,,46.22999954223633,11.905278095312184,-74.24772179710845,VENDA FORTE,44.12717902064899,193.967734784,-5.843059,18.0766733202105,0.8793747815790249,18.995741913666585,54.64824827373512,20.245188997976964,33.268080206826866,23.267136674730438,,,,0.0,66.0
2,TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA,EQTL3,Emp. Adm. Part. - Energia Elétrica,40.36000061035156,13.521737388718314,-66.49718239783611,VENDA FORTE,12.665382360111838,50.786586624,-4.349555,17.298191679288767,1.0348340102395142,11.2896703573474,48.8194833521243,77.01067039469756,91.11630606502501,15.678911751865066,3.5904718755650147,4.42325418052543,14.990889927770874,3.40637769768412,59.9
3,CTEEP,CPFE3,Energia Elétrica,48.560001373291016,13.950670513571833,-71.27127240724299,VENDA FORTE,-4.470432945809104,55.953477632,-20.545155,15.83754778238312,0.8582664509881242,10.156349514288253,35.40113680830153,64.41003989038711,89.19085866320822,19.238369573997094,,,7.874713513632189,-0.5611482448755751,55.4
