year,category,value
2022,CAPEX_FIXED,-53781000.0
2022,CAPEX_INTANGIBLE,876000.0
2022,CASH,416779000.0
2022,COGS,-1543547000.0
2022,DEBT_LONG,348944000.0
2022,DEBT_LONG_FIN,348944000.0
2022,DEBT_SHORT,64121000.0
2022,DEBT_SHORT_FIN,64121000.0
2022,DEPRECIATION,106318000.0
2022,EBIT,87554000.0
2022,EBT,-24730000.0
2022,EQUITY,536822000.0
2022,FIN_CF,-20301000.0
2022,FIN_EXPENSE,-163103000.0
2022,FIN_INCOME,50819000.0
2022,FIN_INVESTMENTS,75522000.0
2022,FIN_INVESTMENTS_LT,261528000.0
2022,GA_EXPENSES,-213481000.0
2022,GROSS_PROFIT,769121000.0
2022,INVEST_CF,-55584000.0
2022,LEASE_LONG,0.0
2022,LEASE_SHORT,0.0
2022,NET_INCOME,-18703000.0
2022,NET_INCOME_CONT,-18703000.0
2022,OPER_CF,236313000.0
2022,REVENUE,2312668000.0
2022,SELLING_EXPENSES,-474736000.0
2022,TAXES,6027000.0
2022,TOTAL_ASSETS,3031361000.0
2022,TOTAL_LIABILITIES,3031361000.0
