year,category,value
2021,CAPEX_FIXED,0.0
2021,CAPEX_INTANGIBLE,-135344000.0
2021,COGS,-201903000.0
2021,DEBT_LONG,1740383000.0
2021,DEBT_LONG_FIN,1710082000.0
2021,DEBT_SHORT,170624000.0
2021,DEBT_SHORT_FIN,163742000.0
2021,DEPRECIATION,54614000.0
2021,EBIT,129441000.0
2021,EBT,89589000.0
2021,EQUITY,1112697000.0
2021,FIN_CF,2292399000.0
2021,FIN_EXPENSE,-67544000.0
2021,FIN_INCOME,27692000.0
2021,FIN_INVESTMENTS,1668121000.0
2021,FIN_INVESTMENTS_LT,1064000.0
2021,GA_EXPENSES,-58410000.0
2021,GROSS_PROFIT,187851000.0
2021,INVEST_CF,-116459000.0
2021,LEASE_LONG,0.0
2021,LEASE_SHORT,0.0
2021,NET_INCOME,58064000.0
2021,NET_INCOME_CONT,58064000.0
2021,OPER_CF,-592586000.0
2021,REVENUE,389754000.0
2021,SELLING_EXPENSES,0.0
2021,TAXES,-31525000.0
2021,TOTAL_ASSETS,3281487000.0
2021,TOTAL_LIABILITIES,3281487000.0
