year,category,value
2022,CAPEX_FIXED,100072000.0
2022,CAPEX_INTANGIBLE,0.0
2022,CASH,18439000.0
2022,COGS,-151640000.0
2022,DEBT_LONG,1781968000.0
2022,DEBT_LONG_FIN,1781968000.0
2022,DEBT_SHORT,163093000.0
2022,DEBT_SHORT_FIN,163093000.0
2022,DEPRECIATION,-1254000.0
2022,EBIT,149947000.0
2022,EBT,-57804000.0
2022,EQUITY,1487295000.0
2022,FIN_CF,147431000.0
2022,FIN_EXPENSE,-231524000.0
2022,FIN_INCOME,23773000.0
2022,FIN_INVESTMENTS,178794000.0
2022,FIN_INVESTMENTS_LT,78367000.0
2022,GA_EXPENSES,-46110000.0
2022,GROSS_PROFIT,233503000.0
2022,INVEST_CF,-106677000.0
2022,LEASE_LONG,0.0
2022,LEASE_SHORT,0.0
2022,NET_INCOME,-82926000.0
2022,NET_INCOME_CONT,-82926000.0
2022,OPER_CF,-44383000.0
2022,REVENUE,385143000.0
2022,SELLING_EXPENSES,-38251000.0
2022,TAXES,-25122000.0
2022,TOTAL_ASSETS,3519439000.0
2022,TOTAL_LIABILITIES,3519439000.0
