year,category,value
2022,CAPEX_FIXED,28333000.0
2022,CAPEX_INTANGIBLE,-784341000.0
2022,CASH,3005731000.0
2022,COGS,-10683493000.0
2022,DEBT_LONG,20678937000.0
2022,DEBT_LONG_FIN,20678937000.0
2022,DEBT_SHORT,1623554000.0
2022,DEBT_SHORT_FIN,1623554000.0
2022,DEPRECIATION,1713606000.0
2022,EBIT,-18264878000.0
2022,EBT,-21623503000.0
2022,EQUITY,-21846002000.0
2022,FIN_CF,-14854943000.0
2022,FIN_EXPENSE,-6935821000.0
2022,FIN_INCOME,3577196000.0
2022,FIN_INVESTMENTS,207258000.0
2022,FIN_INVESTMENTS_LT,6549718000.0
2022,GA_EXPENSES,-1951377000.0
2022,GROSS_PROFIT,-198263000.0
2022,INVEST_CF,17418798000.0
2022,LEASE_LONG,0.0
2022,LEASE_SHORT,0.0
2022,NET_INCOME,-19265934000.0
2022,NET_INCOME_CONT,-24224531000.0
2022,OPER_CF,-2588421000.0
2022,REVENUE,10485230000.0
2022,SELLING_EXPENSES,-2004862000.0
2022,TAXES,-2601028000.0
2022,TOTAL_ASSETS,29616098000.0
2022,TOTAL_LIABILITIES,29616098000.0
