year,category,value
2024,CAPEX_FIXED,213000.0
2024,CAPEX_INTANGIBLE,498000.0
2024,CASH,19637000.0
2024,COGS,-79032000.0
2024,DEBT_LONG,20526000.0
2024,DEBT_LONG_FIN,20117000.0
2024,DEBT_SHORT,144000.0
2024,DEBT_SHORT_FIN,0.0
2024,DEPRECIATION,362000.0
2024,EBIT,-39242000.0
2024,EBT,-41368000.0
2024,EQUITY,147792000.0
2024,FIN_CF,-20578000.0
2024,FIN_EXPENSE,-2851000.0
2024,FIN_INCOME,725000.0
2024,FIN_INVESTMENTS,0.0
2024,FIN_INVESTMENTS_LT,156381000.0
2024,GA_EXPENSES,-27911000.0
2024,GROSS_PROFIT,33694000.0
2024,INVEST_CF,4399000.0
2024,LEASE_LONG,0.0
2024,LEASE_SHORT,0.0
2024,NET_INCOME,-40454000.0
2024,NET_INCOME_CONT,-40454000.0
2024,OPER_CF,21719000.0
2024,REVENUE,112726000.0
2024,SELLING_EXPENSES,-3292000.0
2024,TAXES,914000.0
2024,TOTAL_ASSETS,278798000.0
2024,TOTAL_LIABILITIES,278798000.0
