year,category,value
2020,CAPEX_FIXED,0.0
2020,CAPEX_INTANGIBLE,0.0
2020,CASH,29121000.0
2020,COGS,-189670000.0
2020,DEBT_LONG,0.0
2020,DEBT_LONG_FIN,0.0
2020,DEBT_SHORT,52000.0
2020,DEBT_SHORT_FIN,52000.0
2020,DEPRECIATION,0.0
2020,EBIT,324898000.0
2020,EBT,308346000.0
2020,EQUITY,297639000.0
2020,FIN_CF,-115983000.0
2020,FIN_EXPENSE,-19480000.0
2020,FIN_INCOME,2928000.0
2020,FIN_INVESTMENTS,227848000.0
2020,FIN_INVESTMENTS_LT,90856000.0
2020,GA_EXPENSES,-211129000.0
2020,GROSS_PROFIT,613356000.0
2020,INVEST_CF,-436491000.0
2020,LEASE_LONG,0.0
2020,LEASE_SHORT,0.0
2020,NET_INCOME,199555000.0
2020,NET_INCOME_CONT,199555000.0
2020,OPER_CF,537492000.0
2020,REVENUE,803026000.0
2020,SELLING_EXPENSES,0.0
2020,TAXES,-108791000.0
2020,TOTAL_ASSETS,957545000.0
2020,TOTAL_LIABILITIES,957545000.0
