year,category,value
2020,CAPEX_FIXED,287000.0
2020,CAPEX_INTANGIBLE,-7055000.0
2020,CASH,0.0
2020,COGS,-1704323000.0
2020,DEBT_LONG,0.0
2020,DEPRECIATION,538506000.0
2020,EBIT,-195942000.0
2020,EBT,340688000.0
2020,EQUITY,0.0
2020,FIN_CF,-708938000.0
2020,FIN_EXPENSE,0.0
2020,FIN_INCOME,0.0
2020,FIN_INVESTMENTS,0.0
2020,FIN_INVESTMENTS_LT,3040948000.0
2020,GA_EXPENSES,283976000.0
2020,GROSS_PROFIT,671030000.0
2020,INVEST_CF,-50339000.0
2020,NET_INCOME,340688000.0
2020,NET_INCOME_CONT,340688000.0
2020,OPER_CF,2997069000.0
2020,REVENUE,2375353000.0
2020,SELLING_EXPENSES,0.0
2020,TAXES,0.0
2020,TOTAL_ASSETS,40239343000.0
2020,TOTAL_LIABILITIES,40239343000.0
